,region,value
1,alabama,2.3
2,alaska,7.3
3,arizona,7.6
4,arkansas,4.6
5,california,5.5
6,colorado,6.9
7,connecticut,2.1
8,delaware,5.5
9,district of columbia,7.1
10,florida,3.8
11,georgia,4.6
12,hawaii,5.4
13,idaho,2.6
14,illinois,4.0
15,indiana,2.7
16,iowa,2.3
17,kansas,2.7
18,kentucky,3.0
19,louisiana,7.4
20,maine,5.3
21,maryland,3.8
22,massachusetts,3.8
23,michigan,7.4
24,minnesota,3.0
25,mississippi,4.3
26,missouri,3.7
27,montana,3.7
28,nebraska,2.8
29,nevada,4.5
30,new hampshire,3.2
31,new jersey,2.0
32,new mexico,6.1
33,new york,5.3
34,north carolina,5.7
35,north dakota,2.3
36,ohio,4.5
37,oklahoma,3.5
38,oregon,4.6
39,pennsylvania,-1.0
40,rhode island,5.8
41,south carolina,3.9
42,south dakota,3.9
43,tennessee,3.1
44,texas,4.0
45,utah,3.1
46,vermont,-1.0
47,virginia,2.6
48,washington,5.1
49,west virginia,4.0
50,wisconsin,2.2
51,wyoming,5.1
